RESP,QE1,QB31,QH1,QH2,QI2D
1000856,1,1,2,2,5
1000857,9,9,,,
1000858,1,4,2,2,5
1000859,2,3,2,2,5
1000860,2,1,1,,5
1000861,2,3,2,9,5
1000863,1,1,1,,5
1000865,1,2,2,2,5
1000866,1,1,1,,5
1000867,2,1,3,,5
1000870,2,3,9,,5
1000872,2,1,2,1,5
1000873,2,1,2,2,5
1000874,2,3,2,2,5
1000875,994,3,,,
1000877,1,3,2,2,5
1000878,2,9,1,,5
1000879,1,9,2,9,5
1000880,1,1,2,1,5
1000881,1,1,2,2,5
1000882,1,1,2,1,5
1000885,2,3,2,2,2
1000889,2,3,2,2,5
1000890,1,1,2,9,1
1000892,2,3,2,2,5
1000893,1,3,2,2,5
1000894,9,3,,,
1000895,1,1,2,1,5
1000896,12,9,,,
1000897,1,9,2,9,5
1000898,2,1,1,,5
1000899,2,3,2,2,5
1000901,14,2,3,,
1000902,1,2,2,2,5
1000903,1,1,2,2,5
1000904,9,4,,,
1000905,1,1,1,,5
1000907,1,3,1,,4
1000908,1,1,1,,1
1000909,2,3,2,2,5
1000912,12,3,,,
1000913,2,1,1,,9
1000914,1,1,1,,5
1000915,2,3,2,9,5
1000916,1,1,2,2,5
1000917,12,3,,,
1000918,1,1,1,,5
1000920,2,1,1,,5
1000921,1,1,2,1,5
1000922,2,4,2,2,5
1000923,1,1,1,,5
1000926,10,3,,,
1000927,83,9,2,,
1000928,1,2,2,2,5
1000929,46,3,2,2,5
1000930,2,3,2,2,5
1000932,10,2,,,
1000933,1,1,2,9,5
1000934,13,3,1,,1
1000935,14,2,2,,
1000936,1,3,1,,4
1000937,12,2,,,
1000939,1,3,2,2,5
1000940,1,1,2,2,5
1000942,2,3,2,2,5
1000943,2,3,2,2,5
1000944,2,1,2,2,5
1000945,2,3,2,2,5
1000946,1,1,1,,5
1000947,10,9,,,
1000948,1,3,2,2,5
1000951,1,3,2,2,5
1000953,1,3,2,1,5
1000955,5,9,9,,
1000956,8,4,2,,
1000957,1,3,2,1,4
1000958,1,1,1,,5
1000959,1,1,1,,5
1000960,1,3,2,1,5
1000961,1,3,2,1,5
1000962,1,3,2,2,5
1000963,5,1,2,,
1000965,2,3,2,2,5
1000968,2,3,2,2,1
1000969,2,3,2,2,5
1000970,1,1,1,,5
1000971,9,3,,,
1000972,1,2,2,1,5
1000974,2,4,1,,4
1000977,9,3,,,
1000978,9,4,,,
1000979,12,1,,,
1000982,2,1,1,,9
1000983,2,3,2,2,5
1000984,2,3,2,2,5
